

    0.488281250000000325E-03   -0.934191931269939470-309    0.733283722400665283E+02    0.138519224710112487E+01   -0.193974936008453369E+01   -0.113892221450805664E+01
    0.488281250000000325E-03   -0.934191931270255672-309    0.163587605953216553E+02    0.148149111717032467E+01   -0.230482184886932373E+01   -0.187841928005218506E+01
    0.488281250000000325E-03   -0.934191931270571874-309    0.444729638099670410E+02    0.773081905839638539E+00   -0.211539864540100098E+01   -0.250598871707916260E+01
    0.488281250000000325E-03   -0.934191931270888076-309    0.725763273239135742E+02    0.881919416734536665E+00   -0.180115449428558350E+01   -0.152501964569091797E+01
    0.488281250000000325E-03   -0.934191931271204278-309    0.626090848445892334E+02    0.129932305327039899E+01   -0.137921702861785889E+01   -0.128749072551727295E+01
    0.488281250000000325E-03   -0.934191931271520480-309    0.297917211055755615E+02    0.124825839479891587E+01   -0.277664029598236084E+01   -0.234613990783691406E+01
    0.488281250000000325E-03   -0.934191931271836682-309    0.542996621131896973E+02    0.815435826078600545E+00   -0.281255996227264404E+01   -0.171481776237487793E+01
    0.488281250000000325E-03   -0.934191931272152884-309    0.360839438438415527E+02    0.994281854899692896E+00   -0.107245683670043945E+01   -0.205115270614624023E+01
    0.488281250000000325E-03   -0.934191931272469086-309    0.212294268608093262E+02    0.132140687690040259E+01   -0.273338210582733154E+01   -0.101223778724670410E+01
    0.488281250000000325E-03   -0.934191931272785288-309    0.748432195186614990E+02    0.652306563887170787E+00   -0.236696410179138184E+01   -0.273458743095397949E+01
    0.488281250000000325E-03   -0.927754550074159380-309    0.154244971275329590E+02    0.137523497054782373E+01   -0.178945982456207275E+01   -0.172097992897033691E+01
    0.488281250000000325E-03   -0.927754550074475582-309    0.724013757705688477E+02    0.148256333498634518E+01   -0.183191525936126709E+01   -0.200047290325164795E+01
    0.488281250000000325E-03   -0.927754550074791784-309    0.605447530746459961E+02    0.119310392356543837E+01   -0.143693280220031738E+01   -0.125021529197692871E+01
