coinc_event_id	ifos	snr
0	H1,K1,L1,V1	8.066745909817659
1	H1,K1,L1	8.631696125171105
2	H1,K1,L1	8.205917165654293
3	K1,L1,V1	10.16543866522779
4	H1,K1,L1,V1	8.801395190694235
5	H1,K1,L1,V1	10.43953911107909
6	H1,K1,L1,V1	11.37915905869965
7	H1,K1,L1,V1	9.594467876633473
8	H1,K1,L1	15.28746934566371
9	H1,K1,L1,V1	10.20946966787792
10	H1,K1,L1,V1	8.655870463889132
11	H1,K1,L1	8.133129297360128
12	K1,L1,V1	8.325331622951143
13	H1,K1,L1,V1	8.140410740494383
14	H1,K1,L1,V1	8.072909565305526
15	L1,V1	18.34275275419667
16	H1,K1,V1	19.53134578338936
17	H1,K1,L1,V1	8.173626529938472
18	K1,L1,V1	48.40118832435338
19	H1,L1,V1	9.727613753606214
20	K1,L1,V1	9.033500747585334
21	H1,K1,L1,V1	8.163875903738511
22	K1,L1,V1	9.892982302086127
23	H1,K1,L1,V1	9.091078618731981
24	H1,K1,L1,V1	14.99375226717606
25	H1,K1,L1	8.360650171934688
26	H1,K1,L1,V1	8.060012325195748
27	H1,K1,L1,V1	8.184532122314565
28	K1,L1,V1	67.61077262380293
29	H1,K1,L1,V1	8.05785897419138
30	H1,K1,L1,V1	8.803323613993085
31	H1,K1,L1,V1	8.277574552971178
32	K1,L1,V1	20.33764783513358
33	H1,K1,L1	10.89618554570409
34	H1,K1,L1,V1	8.195483885271246
35	L1,V1	9.325362341853769
36	H1,K1	8.331915411387202
37	L1,V1	8.651721784656482
38	K1,L1,V1	9.023087275707947
39	H1,K1,L1,V1	8.100677286409203
40	K1,V1	14.29524382400376
41	H1,L1,V1	8.265955449026889
42	H1,K1,L1,V1	8.369882163875898
43	H1,K1,L1,V1	8.509831579767368
44	H1,L1,V1	8.988375799504778
45	H1,K1,L1,V1	9.878756402936284
46	H1,L1,V1	8.830855429293251
47	H1,K1,V1	9.373020585195309
48	H1,L1,V1	14.29918060679864
49	H1,K1,L1,V1	16.12830334872562
50	H1,K1,L1,V1	9.466727370266367
51	H1,K1,L1,V1	8.495563467700421
52	H1,K1,L1,V1	8.181652971647821
53	H1,K1,L1,V1	10.24604168289808
54	H1,K1,L1,V1	9.445334737721716
55	H1,K1,V1	10.08115332678695
56	H1,K1,L1,V1	9.361301280487403
57	H1,K1,L1,V1	8.424685517584598
58	H1,L1,V1	24.20305172451998
59	H1,K1,L1,V1	8.425795610110033
60	L1,V1	8.846572891108996
61	H1,V1	8.749564005614593
62	H1,K1,L1,V1	8.405176087089169
63	H1,K1	8.835764141987175
64	H1,L1,V1	8.657275678104266
65	H1,K1,L1,V1	8.038741729976714
66	H1,K1,L1,V1	8.522283739392989
67	H1,K1,V1	11.81673374807792
68	H1,K1,L1,V1	8.196205496733574
69	H1,L1,V1	13.86750803927345
70	K1,L1,V1	10.50887442961258
71	H1,K1,L1,V1	8.48577270687054
72	H1,K1,V1	10.56167262433105
73	H1,L1	8.356440717862037
74	H1,K1,L1	22.70781030468889
75	H1,K1,L1,V1	8.125655144025071
76	H1,K1,L1,V1	8.07833809245685
77	H1,L1,V1	9.624619153411686
78	H1,K1,L1,V1	13.27538268710684
79	H1,K1,L1,V1	10.69094925022306
80	H1,L1,V1	8.853819258009393
81	H1,K1,L1	9.470208876437818
82	H1,K1,L1,V1	11.54898391811155
83	H1,K1,L1,V1	12.76585684333813
84	H1,K1,L1,V1	14.8749321899159
85	H1,K1,L1	8.421856195475199
86	H1,L1,V1	10.68092388560706
87	H1,K1,L1,V1	8.060087511917208
88	H1,L1,V1	8.784685906471847
89	H1,K1,L1,V1	14.01937290895403
90	H1,L1,V1	13.85389052300727
91	H1,K1,V1	10.55953555315011
92	H1,K1,L1,V1	8.004225402795591
93	H1,K1,L1,V1	8.192451040994184
94	H1,K1,L1,V1	9.035120850079366
95	H1,K1,L1,V1	9.256538223555106
96	H1,K1,L1,V1	8.406321365073669
97	H1,K1,L1,V1	11.88232492064465
98	H1,K1,L1,V1	11.10941421371738
99	H1,K1,L1	8.75222196898055
100	H1,K1,L1,V1	10.10577056463042
101	H1,K1,L1	16.64956229051805
102	H1,K1,L1,V1	8.841164698929152
103	H1,K1,L1,V1	8.316197222422977
104	H1,K1,L1,V1	8.004097125306133
105	H1,K1,L1,V1	11.47079633696317
106	K1,L1,V1	8.439867453387842
107	H1,L1,V1	9.739192693075356
108	H1,K1,L1,V1	8.099828894538986
109	H1,K1,L1,V1	12.19141620163218
110	K1,L1,V1	9.996807816075785
