KNphi inclination_EM log10_mej_dyn log10_mej_wind luminosity_distance KNtimeshift Ebv log_likelihood log_prior
19.598528196835087 1.3855304960728527 -2.2450877723082283 -1.2501662274172074 40.0 0.0 0.0 -117.60337207124759 -6.191046900781748
39.244438927950235 0.9125794453464164 -2.639538487481375 -1.166683357536168 40.0 0.0 0.0 -116.83599898858795 -6.408136928932212
19.20079737316682 1.216058036985785 -2.5334284262019686 -1.3284232046683542 40.0 0.0 0.0 -116.72750615917607 -6.23807140414433
53.07223295441184 0.4002665319816456 -2.66280972820653 -1.4494570765039385 40.0 0.0 0.0 -116.22569638697358 -7.116257013736327
33.78916426657826 1.253626658422082 -2.9019315835092523 -1.3106499798038784 40.0 0.0 0.0 -116.14043579586166 -6.224951045974409
71.9637724349518 1.1437881793556077 -2.5005748448258434 -1.1301092280708176 40.0 0.0 0.0 -115.96031932355723 -6.267867254072906
20.483760544375084 1.2495979585535104 -2.3105047047052603 -1.241837258933192 40.0 0.0 0.0 -115.76185275203105 -6.226282469052517
47.73560229491175 0.8254120215596846 -2.752175053205234 -1.4099680460155741 40.0 0.0 0.0 -115.67242311922469 -6.481905877281547
28.143037080719317 1.1847501945815595 -2.5114491049746674 -1.3690523282849667 40.0 0.0 0.0 -115.64826215961006 -6.250229834485533
24.70436584860867 1.249992100820246 -2.516807773426131 -1.3490984513490787 40.0 0.0 0.0 -115.63122093251367 -6.226151416339816
58.27034991635737 1.4053868512852454 -2.416140857741071 -1.0318279756985826 40.0 0.0 0.0 -115.6277612790441 -6.1875290922986625
57.37954676699614 1.242821890653 -2.4515092070494733 -1.2392631439184436 40.0 0.0 0.0 -115.55728596803249 -6.228562539320685
50.54488382313606 1.0659691687395567 -2.6380837824560412 -1.0981262018408566 40.0 0.0 0.0 -115.43290587148773 -6.307022587362747
61.65454043941731 1.218069041901082 -2.367665721646344 -1.2026936329708247 40.0 0.0 0.0 -115.32657682742635 -6.237328811232119
