

    0.212982932182917630E-98    0.709763032041425618E+03    0.381838364978042222E+02    0.151069115597154600E+02    0.784622238187331233E+00   -0.250808954965226949E+01   -0.147806671594427130E+01
    0.233491464603015933E-98    0.709578188498173517E+03    0.410657752393364532E+02    0.216458344459533691E+02    0.152429963432952276E+01   -0.264372158050537109E+01   -0.135222557187080383E+01
    0.294005635337006577E-98    0.709116305110293752E+03    0.380873842053971003E+02    0.452065645430171088E+02    0.959078877358975346E+00   -0.170453557955299795E+01   -0.121336977204962015E+01
    0.333412171962526957E-98    0.708863767461257339E+03    0.418273515568365823E+02    0.674937129020690918E+02    0.958418674183890040E+00   -0.258529055118560791E+01   -0.133182960748672485E+01
    0.367694823994684172E-98    0.708667043232228252E+03    0.402797613304578306E+02    0.541520249726929279E+02    0.152091883929941951E+01   -0.199374715163827698E+01   -0.104723031608114692E+01
    0.392810015640264893E-98    0.708533921144287547E+03    0.404174398038529077E+02    0.605537174727606740E+02    0.332587029261727618E+00   -0.216746062669825834E+01   -0.141035904810947654E+01
    0.470199462674415120E-98    0.708173282743538266E+03    0.400039021823338388E+02    0.331178945185801012E+02    0.220742278512429696E+00   -0.268013882121747615E+01   -0.154354502718290920E+01
    0.546500020136173096E-98    0.707871551478805145E+03    0.448364089953008076E+02    0.361786694091756047E+02    0.102639386936093135E+01   -0.248602104766731458E+01   -0.144449995957862720E+01
    0.765462618575105553E-98    0.707196682842801010E+03    0.379482860714838708E+02    0.151712393760681152E+02    0.120183328499185760E+01   -0.240153038501739502E+01   -0.137434768676757812E+01
    0.765694016634687258E-98    0.707195101775037301E+03    0.410318089109264079E+02    0.312851996113697339E+02    0.111278748480288070E+01   -0.180703510671336720E+01   -0.139213230898340323E+01
    0.897474676931914264E-98    0.706876520670536479E+03    0.427037482181776085E+02    0.315577355641827566E+02    0.891518396382081191E+00   -0.272011503452916559E+01   -0.148781033474205993E+01
    0.966157561621437651E-98    0.706728060061368751E+03    0.409252839129402588E+02    0.350859546661376953E+02    0.980238298664256713E+00   -0.202715373039245605E+01   -0.138800042867660522E+01
    0.109590292173951573E-97    0.706475069578170292E+03    0.423855690356545338E+02    0.674425578117370605E+02    0.821150684769511252E+00   -0.230071306228637695E+01   -0.125528144836425781E+01
    0.177563167631557904E-97    0.705508937767565840E+03    0.404895529858248935E+02    0.357794583858561168E+02    0.735707174258979579E+00   -0.246232464127104622E+01   -0.143946535907240136E+01
    0.220002190376252573E-97    0.705079339039124761E+03    0.406375347259126940E+02    0.395155976109663101E+02    0.162197627617495982E+00   -0.152045984722540539E+01   -0.175265932870739016E+01
    0.279451242661188489E-97    0.704599981816709146E+03    0.404912664812767886E+02    0.242647796707430672E+02    0.144782041011288443E+01   -0.116882994370579962E+01   -0.976766417840331691E+00
    0.358216618587407209E-97    0.704102385152707825E+03    0.400881511776123176E+02    0.324753295886346223E+02    0.974095147250391591E+00   -0.105199107129974867E+01   -0.134602892501205251E+01
    0.381129941617197165E-97    0.703977403614552827E+03    0.406712128048481105E+02    0.258113300800323486E+02    0.113000268600433862E+01   -0.280885207653045654E+01   -0.140233176946640015E+01
    0.529852460586904897E-97    0.703317510611159491E+03    0.364594848391927613E+02    0.479231224600962094E+02    0.128133150477938207E+01   -0.229183596455998506E+01   -0.109957817531036794E+01
    0.885462313505285094E-97    0.702289511438237014E+03    0.380153919896932351E+02    0.554178761121924595E+02    0.121244523531994930E+01   -0.203968284799960209E+01   -0.104602501207428888E+01
    0.947805091062292504E-97    0.702152456907299324E+03    0.399839042229520416E+02    0.413060832023620605E+02    0.143604822195819359E+01   -0.165030705928802490E+01   -0.933612167835235596E+00
    0.121181530124733924E-96    0.701660028580128937E+03    0.403047341707520133E+02    0.152948534488677979E+02    0.735143695346146653E+00   -0.169796395301818848E+01   -0.165560397505760193E+01
    0.127774840810286113E-96    0.701553092040665433E+03    0.444084038000815653E+02    0.338410233369404736E+02    0.780319443625896003E+00   -0.277881579922846100E+01   -0.151755347865330803E+01
