luminosity_distance KNphi inclination_EM KNtimeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
22.037682374010096 17.113550679768647 1.187734783953018 -1.2835152434663357 -2.7152969694439313 -1.4733275670022472 0.0 -138.232071533282 -12.86909516861525
59.32333456374198 36.64600235751031 0.9626469522502072 -1.0423308296416247 -2.6386251211665805 -0.6978473877161875 0.0 -135.55522764019062 -12.991448697503632
43.70307661720603 36.32138842646625 0.5517992993277099 -0.9385260227169052 -2.6047254557301507 -1.2070193971077492 0.0 -134.80970885054663 -13.439702518643003
32.142423829207935 30.762574853992056 1.3861294271789588 -1.611179090485773 -2.5079434522377912 -1.0370485833962904 0.0 -134.62915020312923 -12.811008044287064
69.16679224763234 46.81643736442584 0.5284519527635525 -0.04997867760179098 -1.35172030015382 -0.5915801891403851 0.0 -133.9650369338645 -13.478647386072584
50.264567699888204 26.209148239141342 1.2211735611315222 -1.1398705661321193 -2.895045058465426 -0.9675101969758972 0.0 -133.6943898873542 -12.856264643014296
38.07678837943905 23.618249569936204 0.5024631099878305 -1.4699278292191682 -2.1973110039608983 -1.1233264425813783 0.0 -133.52768872648016 -13.524530462315095
49.75656517667375 19.198171627437567 1.2628482444873035 -1.9558613742663011 -1.6604392316863597 -0.6998034148738412 0.0 -133.5101382350405 -12.842044261964684
49.071099491562364 57.225542546330765 0.9930783905384758 -0.40274640289981867 -1.0321901517603653 -0.7204368478325573 0.0 -133.49318200120217 -12.970941302173056
64.5444302419362 57.84878968694391 0.5973974701483804 -0.08630916237098107 -1.602269391399244 -0.9536028561303054 0.0 -133.37931571360335 -13.36923660557683
76.2141093045058 66.46847822837222 0.015351313965327688 -0.02424730572280387 -1.735298943334199 -0.7887028343170881 0.0 -133.20683043106825 -16.97045279614626
74.64428977133045 55.66935561726615 0.4269760839481852 -0.8033029246378767 -2.2714524191604624 -0.611974020016492 0.0 -133.12953508050876 -13.675458163689619
69.87646097826473 38.3695445488177 0.13941929681467516 -0.49197067357664537 -2.181038285373518 -0.797914851668792 0.0 -132.87108767206533 -14.767370398029936
35.92870721546315 17.47091556650426 1.305464621341831 -1.2803711909438618 -1.0586217815828387 -0.8802301809482884 0.0 -132.8625761592931 -12.82948071497643
62.68108826711586 17.44109296775979 0.4222135143334992 -1.150337631883086 -1.8566987527351482 -0.7915141904303269 0.0 -132.8504231763974 -13.68599272436126
61.3178213133178 26.766443751259544 0.5993762662229728 -1.8006519673387968 -2.7855303191170004 -0.6219019557426733 0.0 -132.75797898556308 -13.366334168649388
