

    0.174152728397749365E-06    0.338859683011588459E+03    0.434461861226410662E+02    0.176620695469107726E-01   -0.280182105005402970E+01   -0.118489039750507863E+01
    0.174207115554456107E-06    0.338858020634880234E+03    0.365025119553168196E+02    0.210399533972025245E-01   -0.233848422969584835E+01   -0.132840421836857336E+01
    0.174653784137239779E-06    0.338851861297423284E+03    0.592743591700763588E+02    0.232102557386292228E-01   -0.256762941920887489E+01   -0.114022998362662253E+01
    0.175118913387668580E-06    0.338845504194217028E+03    0.634166273331338104E+02    0.246322456337975185E-01   -0.260868389952020507E+01   -0.118060232228795758E+01
    0.175254994354736811E-06    0.338842912760038871E+03    0.650982334060847734E+02    0.813152273627263181E-02   -0.242808144522988689E+01   -0.113245798426311350E+01
    0.175427658285330358E-06    0.338839905416403724E+03    0.349705906057898375E+02    0.136886818768043889E-01   -0.262593332718038575E+01   -0.120166826888921174E+01
    0.175515862991697304E-06    0.338837862190056285E+03    0.314248969162237088E+02    0.219252394602891115E-01   -0.248796509051136372E+01   -0.134124675719794828E+01
    0.175820367133408142E-06    0.338833357494730251E+03    0.387578058581551659E+02    0.155156452795508354E-01   -0.266133411638120876E+01   -0.116140100714528383E+01
    0.175987473426851502E-06    0.338830419639506147E+03    0.412469014406759840E+02    0.135237535450808879E-01   -0.263962232148112053E+01   -0.143932330540400910E+01
    0.176095197173577899E-06    0.338828157910695552E+03    0.561396304990129309E+02    0.168200896412453969E-01   -0.229251316705449604E+01   -0.110113182067315396E+01
    0.176427848084322290E-06    0.338823345511513310E+03    0.510626648872970321E+02    0.234819310454951538E-01   -0.260628844537843074E+01   -0.111595769366816233E+01
    0.177470339530802434E-06    0.338810524641501615E+03    0.255213751562984825E+02    0.169924226619492802E-01   -0.237429808593032821E+01   -0.128150213553245429E+01
    0.177543119648479873E-06    0.338808666732196571E+03    0.427869003931709102E+02    0.140171747184411142E-01   -0.265717518943506459E+01   -0.144115170555359984E+01
    0.177533136524229058E-06    0.338807741311227005E+03    0.552568780252862837E+02    0.630427368295801219E-02   -0.281264015503583220E+01   -0.128500930986237272E+01
    0.177698185704717506E-06    0.338804844930317756E+03    0.436436370721615745E+02    0.257422354386756987E-01   -0.253972133295157487E+01   -0.123672011101897317E+01
    0.178040597676261543E-06    0.338799956895821140E+03    0.477306355095211643E+02    0.222814233018058944E-01   -0.233671911464556459E+01   -0.106813864188771079E+01
    0.179214241338279952E-06    0.338785778277067095E+03    0.564660144820938683E+02    0.231226607598054613E-01   -0.240872470270762129E+01   -0.110438442901757261E+01
    0.179405580796237728E-06    0.338782606218105400E+03    0.312399335088724186E+02    0.131010437970263457E-01   -0.233002604562065452E+01   -0.138970760334693400E+01
    0.179965439080687976E-06    0.338775336795207124E+03    0.515314872280116774E+02    0.188507372451760143E-01   -0.221567300658627087E+01   -0.113261347209941254E+01
    0.180701842783803852E-06    0.338766131776032921E+03    0.290642451423208783E+02    0.249479182613221162E-01   -0.263699475720869003E+01   -0.124170845049944290E+01
    0.182037096879203531E-06    0.338750369693837399E+03    0.361118378577377044E+02    0.247047843699837767E-01   -0.265580789344685142E+01   -0.128325975796053049E+01
