luminosity_distance log10_mej_dyn log10_mej_wind inclination_EM log10_E0 thetaCore thetaWing log10_n0 p log10_epsilon_e log10_epsilon_B timeshift Ebv log_likelihood log_prior
545.4925005762316 -1.3297416319412865 -2.3263616908129565 0.31775926479459465 54.05425501788058 0.19277943546729323 0.6091044968494487 -4.98735490239909 2.2606086860252486 -0.33469600968059865 -4.5217891110427715 0.0 0.0 -55.08388764837469 -16.51995676684892
675.0064754318224 -2.443070871830207 -1.4334788462268382 0.332218662456551 51.84931495806173 0.22785157874752726 0.40734942400478225 -0.2696456275687966 2.1405209686837874 -0.8827212262600499 -2.980885442865384 0.0 0.0 -53.72332678165554 -16.47703498852462
483.9739699935547 -1.3537097885515295 -0.5967321006978974 0.2520820607202523 51.29221276030751 0.19063805780405707 0.4679526434830833 -3.153327502156941 2.71661322974443 -0.21044816327979543 -2.0775126312809666 0.0 0.0 -53.07626539291866 -16.745224083048715
272.57447901473046 -1.759757466857464 -2.321195672310454 0.32732714415958225 51.11244996810765 0.1441944530298029 0.5047651490503696 -3.263310332137566 2.5119032729217694 -0.04028776686805813 -1.6064084037136759 0.0 0.0 -52.86565525207273 -16.4913266147784
613.725437755314 -1.757135366269023 -2.966844475078076 0.3038364223475145 52.55033395140862 0.28666308790109685 0.6699339688248463 -3.1283389412220997 2.7281029194074438 -0.36371104222170025 -3.7707665447355687 0.0 0.0 -52.450098926403314 -16.56330958564532
738.9822377610334 -1.7938649655057342 -2.6648874872701573 0.3135098242660238 54.7283750054613 0.24927675651973782 0.7852588614532005 -4.091969627882124 2.237049384429726 -0.09308417819128323 -7.079171360334869 0.0 0.0 -52.39176662892242 -16.53297004893637
833.6976989770801 -1.1326693250577922 -2.6160240437283404 0.15008249062672144 54.50559929857058 0.2922138942759608 0.693200011735239 -2.347448115401323 2.345289258252029 -0.04577910206412561 -7.9279764109173705 0.0 0.0 -52.26631440705819 -17.25693720470331
724.1810014760835 -1.484174837023608 -2.469313151080893 0.3617859967385619 51.51183618406414 0.19253226926734 0.6334158859248675 -3.0109906195904452 2.125795668442201 -0.37056058963774596 -1.2655642502108027 0.0 0.0 -52.248067082766724 -16.39522329656898
858.2044607447599 -1.1827862952847348 -1.6973531829482553 0.20401728281651754 52.16383616104502 0.2691684014299979 0.4763310963604105 -3.5955179011030753 2.80785806467751 -0.3970899062047275 -2.6617265180883276 0.0 0.0 -51.878274463233424 -16.953107452488144
427.75821231793583 -2.1603482828242053 -2.380429926429619 0.6156333635947816 51.63333317209733 0.2746871991695277 0.6677578461137014 -3.023111284850984 2.5016567989821565 -0.27006251298576966 -1.8212766133307703 0.0 0.0 -51.78708882719807 -15.905698936639052
