simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns
2	0.28608001	-0.8219833	2.4084129	422.71248	1.6374293	1.593272	0.20263172	0.17212091	1.7486979961395264	-1.999014139175415	1014705132	973500371
7	4.9334767	0.91831532	0.43545682	1218.2258	3.1384391	3.0850423	0.43847174	-0.01808745	0.9972630143165588	-1.7874815464019775	1018870340	500946283
8	1.5147091	-0.0066351855	1.2802423	167.01078	1.514586	1.4887527	0.23312816	-0.17678188	3.8346498012542725	-0.9046832323074341	1002584609	58506966
15	4.8649471	0.52402613	2.3454661	390.15591	1.8212692	1.6554171	0.23977242	0.11448488	5.120023250579834	2.9049415588378906	1002494810	990940690
29	0.9096853	0.01505055	0.38635303	356.76584	2.3500245	1.5230328	-0.035197925	0.17894049	4.848689079284668	1.982814908027649	1021914657	369989872
33	4.975239	-1.5003724	0.52803729	251.82463	1.3771605	1.3398234	-0.027007681	0.18118381	4.133631229400635	0.3689521849155426	1014024826	227454782
73	1.9480311	0.11929674	2.9912295	591.4704	2.2034324	1.9276171	0.098241312	-0.0066357366	0.3188926577568054	1.6266398429870605	1016511727	729446411
81	3.3846408	-0.62728019	2.5977843	256.91414	2.7298069	1.7191559	-0.012841677	-0.22093979	4.955397605895996	0.4341941773891449	1030421416	352768064
100	0.56521935	0.21372892	1.7259327	60.518784	1.4892646	1.3113614	0.2688133	0.26831342	1.9511163234710693	1.5936808586120605	1000439319	876760483
111	6.1765088	-0.17943583	0.96178312	1614.7787	2.529435	1.5404869	0.31785714	0.13449702	0.3788944184780121	-0.3824208676815033	1029023525	659519792
115	1.8147409	-1.0626261	0.94098792	293.37968	1.7964748	1.3901343	0.039995609	-0.0027401173	1.5735387802124023	-2.862536907196045	1023877743	198955536
119	2.5465416	0.1736972	1.6043813	5761.3292	4.9734942	2.6628879	0.37477405	-0.24448145	0.32857784628868103	3.1172878742218018	1029420526	657898903
122	3.5069854	-0.16008518	2.2828282	268.24873	2.5464011	1.9556554	-0.14246923	-0.020473628	0.6600334048271179	2.7189884185791016	1014101372	792473078
134	0.70355797	0.64988445	2.6014555	290.82907	1.6732951	1.211878	0.03659485	0.019479862	3.9163262844085693	-2.9389333724975586	1030413453	774476767
143	3.7049175	-0.59581494	2.7482866	1771.2109	2.9677806	2.5505695	-0.11654227	-0.026100067	4.698468208312988	0.5784209966659546	1004687451	292495370
155	4.7423421	0.83325438	2.2189012	373.1919	2.8358495	2.2711214	-0.027032557	-0.20029719	2.925131320953369	-0.32230451703071594	1018258426	23471236
183	0.046724149	0.86441743	2.4319372	544.28605	2.747526	1.5252225	-0.14189151	-0.072693464	1.0906201601028442	2.865739107131958	1026979594	902591705
203	5.7249928	-1.05264	0.44061015	159.88658	1.4406553	1.2767758	-0.086940422	-0.0082588613	3.691045045852661	-0.639746367931366	1020579091	680738330
205	3.6141743	-0.56500708	0.55661332	4307.4079	3.3413255	2.5940193	0.087014858	-0.018686137	4.009720325469971	2.972822904586792	1017919267	589926004
206	1.5608096	0.62531344	2.8273284	390.35983	2.7207551	1.6460187	0.35085781	0.095731846	6.270028591156006	-0.20597894489765167	1028041825	438894629
217	2.0035729	0.32641543	0.64752609	266.52561	2.175001	1.257273	0.068704365	0.030792657	2.111841917037964	-2.583899736404419	1028276898	603065252
241	4.9843535	-0.2962989	1.597707	363.25953	2.5856644	1.847514	-0.027297769	-0.099372999	2.44541597366333	-2.0296080112457275	1026111793	512083530
250	0.94551322	-0.72760521	0.23466578	1934.5877	2.6607586	2.4773308	-0.075176489	0.08840302	1.5628001689910889	-1.4639588594436646	1010322030	727614284
256	4.9735401	-0.85791698	2.4427905	221.6281	2.6820405	1.361751	0.57247521	-0.041821291	4.45824670791626	2.521186590194702	1016679921	394503117
279	3.7672817	0.51067838	2.4788351	511.48447	2.5408659	1.7820364	0.14081901	-0.024745694	0.8795785903930664	1.7431200742721558	1001270748	857825398
288	3.2965935	-1.4508263	2.4108518	268.50815	2.6863298	2.6851373	-0.094873609	0.31924142	3.728996515274048	-1.7154711484909058	1004370545	146313429
294	0.27098275	-0.055858413	0.67712515	249.4929	2.8420325	2.701196	-0.32934952	-0.67618716	1.1905426979064941	0.11065112799406052	1021092448	464609504
297	3.8545121	0.68912526	2.1384328	280.44067	1.4522493	1.274767	0.001252001	-0.052054654	3.1820080280303955	0.8978067636489868	1011545264	820287824
312	3.4314982	-0.23980993	2.2226637	660.68748	1.9743916	1.4601909	0.27900043	-0.0028791682	1.715013027191162	-1.0005700588226318	1015097476	778975368
337	2.3119566	-0.73714889	1.0675829	307.91609	1.5959699	1.4553901	0.016962556	-0.098154386	0.14414097368717194	0.7327072024345398	1018695547	794469118
350	3.0201869	-0.55465208	2.8764848	453.52544	2.0797885	1.3697682	0.015094406	-0.027234267	0.5215232372283936	-2.1283247470855713	1009854033	945038915
354	4.997259	-0.44495167	1.8306086	227.8748	2.1363099	1.9141751	-0.0080403516	-0.1881896	2.574714422225952	0.18207912147045135	1029774241	110223293
373	2.0872147	-0.84321778	0.99886845	447.66298	2.798274	1.9581486	-0.49869584	0.052568627	4.604058742523193	-1.049221158027649	1013271025	311661601
374	4.9899163	0.43756122	2.6504836	313.61212	2.4053582	1.5956349	0.17500712	0.04467452	4.902864456176758	-1.2926216125488281	1002395459	507812619
378	3.8157555	0.41519195	0.50663103	404.08271	1.5129453	1.3851734	-0.00018110707	-0.10937413	3.5372493267059326	-0.8484597206115723	1018294610	60124636
380	6.2309297	0.24938868	2.3243703	302.51445	2.5586685	2.3021386	0.0037453159	-0.097421745	1.5044121742248535	0.7613452076911926	1010576764	420654535
394	4.3531983	0.16421366	0.77576074	194.33117	1.3523642	1.2278777	-0.074697285	0.14811861	0.20798805356025696	-1.8549556732177734	1026091294	91229200
