2021-06-29T09:29:43.996 ztfg  20.4613896777274 inf
2021-06-29T09:30:25.001 ztfg  20.4645676656929 inf
2021-06-30T09:43:37.998 ztfg  20.7156202952089 inf
2021-06-30T09:44:19.003 ztfg  20.547352828071 inf
2021-07-06T09:21:36.000 ztfg  19.9294317797623 0.0753281448324442
2021-07-06T09:22:16.997 ztfg  19.859349187762 0.0756496323667724
